iter	RMSE
0	11.43386398
1	10.86782391
2	10.32698755
3	9.827051877
4	9.33887203
5	8.879577372
6	8.439402395
7	8.027896803
8	7.641032332
9	7.269289838
10	6.911030249
11	6.576445759
12	6.249750493
13	5.944570281
14	5.655972502
15	5.380287826
16	5.113670046
17	4.867753756
18	4.630919039
19	4.408661584
20	4.196234955
21	3.991334774
22	3.798854409
23	3.61774084
24	3.439970501
25	3.270576154
26	3.11174487
27	2.958453413
28	2.814459827
29	2.680880957
30	2.551820929
31	2.427611719
32	2.31107305
33	2.200161852
34	2.093853777
35	1.994312501
36	1.899171437
37	1.808594088
38	1.722762257
39	1.640333466
40	1.56247764
41	1.489075105
42	1.419394585
43	1.352275962
44	1.288866514
45	1.229017923
46	1.171258348
47	1.117192673
48	1.065249863
49	1.017129545
50	0.9703091102
51	0.9264031335
52	0.8846562978
53	0.8454315354
54	0.8079325766
55	0.7725553809
56	0.7391600932
57	0.7077588682
58	0.6779485592
59	0.6496012027
60	0.6226663632
61	0.597682432
62	0.5736084116
63	0.5512634506
64	0.5300083398
65	0.5097863951
66	0.4907029246
67	0.4727986026
68	0.455785269
69	0.4388373885
70	0.4233748023
71	0.4084154681
72	0.3945967779
73	0.3818889591
74	0.3691999231
75	0.3579790518
76	0.3469223541
77	0.3372149715
78	0.3271007145
79	0.3183083464
80	0.3096506076
81	0.301870079
82	0.2951985694
83	0.288147035
84	0.2815508732
85	0.2749695005
86	0.2694410985
87	0.2636029693
88	0.2580310372
89	0.2529090941
90	0.2485413853
91	0.2441741008
92	0.2403225103
93	0.2365033664
94	0.2331347949
95	0.2295387504
96	0.226214025
97	0.2233049065
98	0.2204815359
99	0.217846101
100	0.2153383079
101	0.2128567931
102	0.210478159
103	0.2087443096
104	0.2068981165
105	0.2048087652
106	0.2028987481
107	0.2009874595
108	0.1992800984
109	0.1977060335
110	0.1966948985
111	0.1952148521
112	0.1938833217
113	0.1926467475
114	0.1912384602
115	0.1900109361
116	0.1886038497
117	0.1875106957
118	0.1868414888
119	0.1857955062
120	0.185095794
121	0.184351777
122	0.1835194085
123	0.1822151606
124	0.1811814006
125	0.1803534983
126	0.1791741307
127	0.177940595
128	0.1770589007
129	0.1764709213
130	0.1754862372
131	0.1746142071
132	0.173882742
133	0.1731519757
134	0.1725945138
135	0.1718736879
136	0.1711435193
137	0.1707117821
138	0.1700044775
139	0.1690750103
140	0.1685924509
141	0.1680717547
142	0.167554219
143	0.1669591509
144	0.1665440207
145	0.1659178732
146	0.1653329347
147	0.1647268502
148	0.1639908589
149	0.1632347076
150	0.1625133829
151	0.1620459404
152	0.1613478002
153	0.1608398018
154	0.1603192312
155	0.1597736024
156	0.1592851231
157	0.1587135414
158	0.1583117366
159	0.1577912849
160	0.1572900423
161	0.1567260992
162	0.1562112703
163	0.1559377038
164	0.1555232159
165	0.1548838837
166	0.1542534112
167	0.1537262462
168	0.1531390509
169	0.1526607616
170	0.1523590043
171	0.1519962294
172	0.151596208
173	0.1511030533
174	0.1507738202
175	0.1503358598
176	0.1499635442
177	0.1495422405
178	0.1491435456
179	0.1484174374
180	0.1480925055
181	0.1477910402
182	0.147181956
183	0.1467538945
184	0.1462566451
185	0.1458877423
186	0.1455559488
187	0.1452434672
188	0.1448295069
189	0.1445021206
190	0.1442235143
191	0.1439660833
192	0.1436854349
193	0.1433485313
194	0.1430607825
195	0.1426975335
196	0.1423776308
197	0.1420522636
198	0.1417313294
199	0.1411998626
200	0.1409772987
201	0.1406472996
202	0.1404537152
203	0.1402140088
204	0.1399022752
205	0.1397251228
206	0.1392742661
207	0.1389058058
208	0.1386097711
209	0.1380686265
210	0.137755365
211	0.1373157283
212	0.1371027784
213	0.1368597372
214	0.1366283536
215	0.1363305051
216	0.1360449326
217	0.1357461093
218	0.1356158217
219	0.1352502245
220	0.1351165665
221	0.1347661242
222	0.1345244283
223	0.1343072442
224	0.1341483137
225	0.1340408532
226	0.1338366478
227	0.1336485909
228	0.1334747328
229	0.1332807532
230	0.1331895129
231	0.1329586678
232	0.1327469055
233	0.132570095
234	0.1323645044
235	0.1321074347
236	0.1317536618
237	0.1315468748
238	0.131442927
239	0.1313418188
240	0.1311500806
241	0.1308711391
242	0.130621576
243	0.1303217202
244	0.1302117508
245	0.1301268711
246	0.1300787431
247	0.130011891
248	0.1298259688
249	0.1296680861
250	0.1295923828
251	0.1294243715
252	0.1293377402
253	0.129280298
254	0.1290161663
255	0.1286108653
256	0.1283275852
257	0.1281720732
258	0.1279209852
259	0.1278439914
260	0.1277738566
261	0.1277004351
262	0.127612172
263	0.1275600869
264	0.1274386147
265	0.1272683665
266	0.1272177644
267	0.1271495164
268	0.1269056792
269	0.1268296989
270	0.1266478482
271	0.126507638
272	0.1262413626
273	0.1259333795
274	0.1258685068
275	0.1256508109
276	0.1254531234
277	0.1253215766
278	0.1250234025
279	0.1249587098
280	0.1248868167
281	0.1247151045
282	0.1245051111
283	0.1242880817
284	0.1240140475
285	0.1239744767
286	0.1237487631
287	0.1237059794
288	0.1235821595
289	0.1234045017
290	0.1232272347
291	0.123167681
292	0.1231093751
293	0.1227042369
294	0.1226475968
295	0.1225922357
296	0.1225328378
297	0.1223111609
298	0.1221910038
299	0.1221330315
300	0.1218826186
301	0.1218073574
302	0.1217527553
303	0.1215800393
304	0.1215268706
305	0.1214915596
306	0.1214441882
307	0.1213989124
308	0.1212997391
309	0.1211356633
310	0.1210839476
311	0.1210409223
312	0.1209406265
313	0.1208989879
314	0.1207917288
315	0.1207565146
316	0.1207236114
317	0.1206077218
318	0.1204134535
319	0.1201789172
320	0.1201357435
321	0.1200960809
322	0.119898184
323	0.1197542312
324	0.1195387459
325	0.1195246745
326	0.1193422309
327	0.1191717746
328	0.1191135918
329	0.1189239095
330	0.1186864462
331	0.1186305661
332	0.1184409515
333	0.1182711762
334	0.1182394213
335	0.1180800168
336	0.1180447168
337	0.1178638839
338	0.1178233918
339	0.1177818883
340	0.1177711046
341	0.1176174468
342	0.1173510407
343	0.1171615142
344	0.1169268617
345	0.1167961508
346	0.1167682038
347	0.1166345556
348	0.1165308729
349	0.1162431849
350	0.1161557782
351	0.1160662971
352	0.1159900426
353	0.1159397662
354	0.1159315461
355	0.1158298287
356	0.1158053399
357	0.1157067102
358	0.1155118492
359	0.1153319691
360	0.115178879
361	0.1150409997
362	0.1148614603
363	0.1147616915
364	0.1146778897
365	0.1144952303
366	0.1144623236
367	0.1143250745
368	0.1143002142
369	0.1142089621
370	0.1141853693
371	0.1140049123
372	0.1138719384
373	0.1137795921
374	0.1137335792
375	0.1136165341
376	0.11350464
377	0.1133569478
378	0.1133436336
379	0.1131812595
380	0.1130987573
381	0.1130251505
382	0.1129123945
383	0.1126132348
384	0.1124797755
385	0.1124554011
386	0.1124049378
387	0.1122677686
388	0.1121829026
389	0.1120820071
390	0.111947364
391	0.1118651027
392	0.1116988842
393	0.1116132454
394	0.1115840831
395	0.1114510345
396	0.1113754939
397	0.1112269762
398	0.1111698797
399	0.1111338832
400	0.1110843814
401	0.1110388644
402	0.11093436
403	0.1108284146
404	0.1106577596
405	0.1106396336
406	0.110420855
407	0.110390635
408	0.1102352481
409	0.1102225485
410	0.1101315314
411	0.1100755002
412	0.1099243698
413	0.1096515816
414	0.1096171318
415	0.1094993785
416	0.1093570744
417	0.1092350112
418	0.1091858767
419	0.1091471773
420	0.1090105942
421	0.1089474198
422	0.1088205726
423	0.108726575
424	0.1087055488
425	0.1085889816
426	0.1084554911
427	0.1083513473
428	0.1083190734
429	0.1082317967
430	0.1081109991
431	0.1080074181
432	0.1079478874
433	0.1079335066
434	0.1078050018
435	0.1077473602
436	0.1076391135
437	0.107410677
438	0.107323979
439	0.1072862422
440	0.1071762327
441	0.1071523171
442	0.1070318939
443	0.1069498698
444	0.1069356073
445	0.1068251396
446	0.1067665226
447	0.1067242371
448	0.1064450619
449	0.1063450831
450	0.1060403113
451	0.1060181176
452	0.1059303828
453	0.1058605366
454	0.1055143091
455	0.1053141701
456	0.1051854992
457	0.1051094556
458	0.1050018428
459	0.1048805878
460	0.1047711325
461	0.1047511108
462	0.1046465411
463	0.1045238348
464	0.1043490847
465	0.1042624389
466	0.1040748612
467	0.1040555701
468	0.1039342301
469	0.1038546005
470	0.1038280042
