iter	Passed	Remaining
0	22	11371
1	47	11815
2	58	9715
3	116	14436
4	139	13841
5	165	13585
6	190	13416
7	196	12079
8	218	11904
9	237	11650
10	253	11271
11	258	10531
12	281	10532
13	291	10130
14	311	10081
15	327	9898
16	348	9889
17	373	10008
18	380	9621
19	403	9688
20	429	9799
21	441	9594
22	463	9622
23	486	9652
24	508	9661
25	533	9734
26	560	9811
27	585	9866
28	596	9694
29	618	9685
30	641	9705
31	666	9741
32	691	9780
33	714	9792
34	737	9793
35	759	9795
36	786	9837
37	811	9865
38	834	9870
39	858	9868
40	883	9891
41	901	9833
42	929	9877
43	957	9923
44	984	9951
45	1008	9954
46	1034	9972
47	1071	10089
48	1083	9974
49	1100	9903
50	1124	9897
51	1146	9879
52	1171	9883
53	1184	9784
54	1207	9772
55	1238	9817
56	1260	9794
57	1283	9782
58	1305	9761
59	1311	9617
60	1332	9590
61	1354	9569
62	1377	9558
63	1401	9545
64	1423	9527
65	1449	9531
66	1471	9507
67	1487	9446
68	1509	9426
69	1531	9408
70	1555	9401
71	1578	9381
72	1600	9359
73	1605	9242
74	1626	9214
75	1648	9195
76	1670	9177
77	1706	9233
78	1729	9217
79	1751	9196
80	1772	9170
81	1796	9156
82	1818	9135
83	1841	9118
84	1881	9188
85	1904	9166
86	1924	9138
87	1952	9139
88	1977	9131
89	2001	9116
90	2024	9099
91	2049	9090
92	2074	9080
93	2098	9064
94	2139	9121
95	2165	9112
96	2193	9112
97	2216	9093
98	2252	9124
99	2276	9106
100	2301	9091
101	2324	9069
102	2346	9044
103	2368	9019
104	2393	9003
105	2417	8986
106	2446	8986
107	2484	9017
108	2513	9016
109	2540	9005
110	2567	8996
111	2592	8982
112	2616	8962
113	2640	8940
114	2658	8899
115	2682	8879
116	2706	8860
117	2729	8837
118	2752	8811
119	2774	8785
120	2797	8762
121	2824	8751
122	2847	8727
123	2869	8701
124	2892	8677
125	2915	8654
126	2940	8637
127	2964	8616
128	2987	8591
129	3011	8570
130	3033	8544
131	3056	8522
132	3080	8500
133	3103	8476
134	3126	8453
135	3150	8431
136	3178	8420
137	3204	8406
138	3227	8382
139	3250	8358
140	3271	8329
141	3293	8303
142	3316	8278
143	3338	8254
144	3361	8230
145	3382	8200
146	3404	8176
147	3429	8156
148	3454	8137
149	3476	8111
150	3498	8086
151	3523	8067
152	3545	8040
153	3568	8017
154	3589	7990
155	3611	7963
156	3633	7937
157	3654	7911
158	3678	7889
159	3704	7871
160	3728	7851
161	3753	7830
162	3777	7809
163	3799	7784
164	3824	7764
165	3847	7740
166	3870	7717
167	3892	7693
168	3933	7703
169	3959	7685
170	3983	7664
171	4010	7648
172	4032	7621
173	4055	7598
174	4079	7575
175	4102	7551
176	4124	7527
177	4147	7502
178	4171	7480
179	4195	7459
180	4220	7438
181	4245	7417
182	4268	7393
183	4291	7369
184	4315	7348
185	4339	7325
186	4362	7302
187	4385	7278
188	4409	7256
189	4433	7234
190	4459	7214
191	4485	7195
192	4511	7176
193	4534	7152
194	4557	7127
195	4583	7109
196	4607	7087
197	4631	7064
198	4655	7041
199	4680	7020
200	4704	6998
201	4743	6998
202	4768	6975
203	4789	6950
204	4813	6926
205	4838	6905
206	4861	6881
207	4884	6857
208	4909	6835
209	4931	6810
210	4954	6786
211	4993	6784
212	5021	6765
213	5044	6742
214	5068	6719
215	5094	6698
216	5118	6675
217	5143	6653
218	5167	6630
219	5192	6608
220	5218	6588
221	5244	6567
222	5269	6545
223	5294	6523
224	5316	6497
225	5339	6473
226	5362	6449
227	5384	6423
228	5407	6399
229	5430	6375
230	5453	6350
231	5478	6328
232	5502	6304
233	5525	6281
234	5550	6258
235	5573	6234
236	5599	6214
237	5624	6191
238	5649	6169
239	5688	6162
240	5712	6139
241	5738	6117
242	5762	6094
243	5786	6071
244	5810	6047
245	5834	6024
246	5858	6000
247	5885	5980
248	5911	5959
249	5936	5936
250	5960	5912
251	5987	5892
252	6013	5871
253	6039	5848
254	6063	5826
255	6092	5806
256	6119	5786
257	6161	5779
258	6192	5762
259	6220	5741
260	6249	5722
261	6278	5702
262	6302	5679
263	6326	5655
264	6351	5632
265	6376	5609
266	6401	5586
267	6426	5563
268	6451	5539
269	6477	5518
270	6504	5496
271	6528	5472
272	6553	5449
273	6579	5426
274	6604	5403
275	6628	5379
276	6652	5355
277	6676	5331
278	6702	5309
279	6727	5285
280	6753	5263
281	6780	5241
282	6803	5216
283	6826	5192
284	6865	5178
285	6895	5159
286	6921	5136
287	6946	5113
288	6969	5088
289	6996	5066
290	7021	5042
291	7045	5018
292	7067	4993
293	7088	4967
294	7113	4943
295	7136	4918
296	7160	4894
297	7185	4870
298	7209	4846
299	7233	4822
300	7261	4800
301	7284	4776
302	7309	4752
303	7333	4727
304	7357	4704
305	7381	4680
306	7404	4655
307	7425	4629
308	7446	4602
309	7469	4577
310	7493	4554
311	7517	4529
312	7540	4505
313	7570	4484
314	7592	4459
315	7617	4435
316	7641	4411
317	7665	4386
318	7688	4362
319	7712	4338
320	7735	4313
321	7760	4290
322	7785	4266
323	7808	4241
324	7831	4216
325	7853	4191
326	7879	4168
327	7906	4145
328	7928	4120
329	7950	4095
330	7975	4071
331	7999	4047
332	8021	4022
333	8044	3998
334	8067	3973
335	8090	3949
336	8114	3924
337	8139	3901
338	8163	3877
339	8187	3852
340	8210	3828
341	8233	3803
342	8261	3781
343	8286	3757
344	8309	3733
345	8331	3708
346	8353	3683
347	8376	3658
348	8399	3634
349	8422	3609
350	8446	3585
351	8469	3561
352	8495	3537
353	8518	3513
354	8543	3489
355	8565	3464
356	8587	3439
357	8609	3414
358	8630	3389
359	8652	3365
360	8674	3340
361	8696	3315
362	8719	3290
363	8743	3266
364	8770	3243
365	8795	3220
366	8817	3195
367	8840	3170
368	8866	3147
369	8891	3124
370	8914	3099
371	8935	3074
372	8958	3050
373	8981	3025
374	9007	3002
375	9032	2978
376	9059	2955
377	9083	2931
378	9106	2907
379	9131	2883
380	9157	2860
381	9182	2836
382	9206	2812
383	9231	2788
384	9258	2765
385	9282	2741
386	9308	2718
387	9331	2693
388	9355	2669
389	9379	2645
390	9404	2621
391	9429	2597
392	9453	2573
393	9477	2549
394	9503	2526
395	9528	2502
396	9552	2478
397	9575	2454
398	9611	2432
399	9651	2412
400	9676	2389
401	9699	2364
402	9724	2340
403	9748	2316
404	9775	2293
405	9810	2271
406	9834	2247
407	9857	2222
408	9880	2198
409	9905	2174
410	9930	2150
411	9955	2126
412	9980	2102
413	10006	2078
414	10032	2054
415	10056	2030
416	10080	2006
417	10103	1982
418	10125	1957
419	10150	1933
420	10174	1909
421	10196	1884
422	10219	1860
423	10242	1835
424	10266	1811
425	10289	1787
426	10312	1763
427	10335	1738
428	10357	1714
429	10379	1689
430	10402	1665
431	10425	1640
432	10446	1616
433	10469	1592
434	10492	1567
435	10516	1543
436	10544	1520
437	10567	1495
438	10589	1471
439	10612	1447
440	10634	1422
441	10657	1398
442	10680	1374
443	10702	1349
444	10724	1325
445	10746	1301
446	10769	1276
447	10796	1253
448	10820	1229
449	10842	1204
450	10864	1180
451	10887	1156
452	10911	1132
453	10935	1107
454	10957	1083
455	10980	1059
456	11003	1035
457	11027	1011
458	11052	987
459	11076	963
460	11098	938
461	11120	914
462	11144	890
463	11169	866
464	11192	842
465	11216	818
466	11241	794
467	11267	770
468	11294	746
469	11318	722
470	11344	698
471	11374	674
472	11398	650
473	11424	626
474	11450	602
475	11478	578
476	11508	554
477	11536	530
478	11566	507
479	11593	483
480	11618	458
481	11642	434
482	11667	410
483	11692	386
484	11716	362
485	11742	338
486	11768	314
487	11797	290
488	11824	265
489	11850	241
490	11874	217
491	11899	193
492	11923	169
493	11948	145
494	11973	120
495	11997	96
496	12022	72
497	12049	48
498	12074	24
499	12097	0
